loan_id,customer_id,branch_id,loan_type,principal_amount,interest_rate,tenure_months,disbursement_date,maturity_date,emi_amount,outstanding_balance,loan_status,purpose
L000226,C000280,BR016,Personal,362248.62,16.66,60,2022-11-12,2027-11-12,8936.72,0.0,Closed,Personal
L000227,C000493,BR014,Education,290225.95,17.26,36,2020-12-14,2023-12-14,10384.94,0.0,Closed,Education
L000228,C000305,BR023,Auto,305211.7,5.82,360,2023-04-08,2053-04-08,1794.73,300777.45,Active,Vehicle
L000229,C000161,BR026,Home,323528.26,15.78,24,2021-03-22,2023-03-22,15806.96,0.0,Closed,Home Purchase
L000230,C000007,BR003,Home,137795.22,12.93,120,2023-04-03,2033-04-03,2051.75,0.0,Closed,Home Purchase
L000231,C000025,BR001,Business,438924.31,9.77,48,2023-03-28,2027-03-28,11083.84,395376.14,In Arrears,Business Expansion
L000232,C000386,BR005,Auto,396800.86,16.63,180,2023-05-25,2038-05-25,6003.03,382120.43,In Arrears,Vehicle
L000233,C000017,BR004,Auto,52229.91,5.7,360,2023-05-23,2053-05-23,303.14,51614.93,In Arrears,Vehicle
L000234,C000009,BR011,Education,56475.08,7.64,240,2022-07-10,2042-07-10,459.81,55554.26,In Arrears,Education
L000235,C000383,BR021,Business,328468.34,14.3,36,2023-05-09,2026-05-09,11274.19,313929.19,Defaulted,Business Expansion
L000236,C000108,BR028,Education,313518.86,9.88,48,2022-12-31,2026-12-31,7933.59,277880.54,In Arrears,Education
L000237,C000352,BR027,Education,186098.87,6.44,120,2023-03-07,2033-03-07,2107.44,183210.24,Defaulted,Education
L000238,C000075,BR009,Home,483034.98,8.66,24,2022-09-02,2024-09-02,21992.05,438946.75,In Arrears,Home Purchase
L000239,C000220,BR017,Education,252182.73,16.22,84,2023-04-09,2030-04-09,5040.52,243253.58,Defaulted,Education
L000240,C000366,BR035,Credit Builder,360412.77,11.17,12,2023-11-01,2024-11-01,31882.46,0.0,Closed,Debt Consolidation
L000241,C000325,BR035,Personal,413486.66,16.28,180,2023-12-15,2038-12-15,6153.79,405420.77,Active,Debt Consolidation
L000242,C000317,BR040,Education,139150.41,14.09,120,2023-12-05,2033-12-05,2168.08,133526.34,In Arrears,Education
L000243,C000444,BR014,Education,368523.95,15.25,120,2022-11-30,2032-11-30,6002.13,360227.0,Defaulted,Education
L000244,C000358,BR032,Credit Builder,359614.64,13.37,72,2020-03-18,2026-03-18,7289.36,338062.63,Active,Personal
L000245,C000083,BR009,Home,210532.9,17.41,36,2022-09-22,2025-09-22,7549.1,200658.63,In Arrears,Home Purchase
L000246,C000139,BR030,Home,403738.08,11.31,240,2021-08-27,2041-08-27,4252.85,383861.37,In Arrears,Home Purchase
L000247,C000183,BR006,Credit Builder,51392.85,9.55,48,2022-01-08,2026-01-08,1292.38,45370.08,Active,Personal
L000248,C000060,BR009,Business,485653.96,5.66,36,2020-09-25,2023-09-25,14699.83,457240.64,In Arrears,Business Expansion
L000249,C000228,BR029,Home,171477.75,4.97,240,2023-12-12,2043-12-12,1128.84,168528.49,Defaulted,Home Purchase
L000250,C000206,BR037,Auto,208268.4,6.07,48,2022-10-20,2026-10-20,4897.88,201466.17,Defaulted,Vehicle
L000251,C000256,BR005,Education,210447.1,9.77,180,2023-12-23,2038-12-23,2231.96,207715.42,Defaulted,Education
L000252,C000192,BR032,Education,120770.18,17.61,180,2022-01-25,2037-01-25,1911.12,117351.95,In Arrears,Education
L000253,C000286,BR034,Education,368974.5,16.15,36,2023-12-23,2026-12-23,12999.39,0.0,Closed,Education
L000254,C000411,BR017,Auto,337078.0,6.54,84,2022-12-16,2029-12-16,5011.95,330808.81,Defaulted,Vehicle
L000255,C000140,BR010,Business,166413.69,8.12,24,2020-05-29,2022-05-29,7535.55,156946.16,Defaulted,Business Expansion
L000256,C000188,BR008,Credit Builder,175225.23,13.24,36,2023-04-04,2026-04-04,5924.31,0.0,Closed,Personal
L000257,C000177,BR030,Personal,199402.02,9.21,12,2023-04-09,2024-04-09,17457.43,199402.02,In Arrears,Personal
L000258,C000344,BR031,Home,302682.2,7.34,120,2021-09-03,2031-09-03,3567.67,283937.19,Active,Home Purchase
L000259,C000437,BR011,Business,466401.48,7.45,36,2022-06-29,2025-06-29,14497.28,449058.09,In Arrears,Business Expansion
L000260,C000163,BR013,Personal,457615.97,10.07,84,2020-07-23,2027-07-23,7613.53,438141.68,Active,Personal
L000261,C000182,BR023,Auto,208177.23,12.56,48,2023-03-25,2027-03-25,5539.52,193924.49,Defaulted,Vehicle
L000262,C000264,BR012,Auto,171087.56,3.67,180,2023-04-29,2038-04-29,1237.41,170416.61,Defaulted,Vehicle
L000263,C000350,BR037,Business,254213.63,5.26,60,2021-02-24,2026-02-24,4827.66,239248.37,Active,Business Expansion
L000264,C000384,BR023,Education,15186.75,18.2,84,2023-01-15,2030-01-15,320.98,14771.08,Defaulted,Education
L000265,C000413,BR019,Business,450067.69,3.83,180,2020-11-09,2035-11-09,3290.88,445608.76,In Arrears,Business Expansion
L000266,C000063,BR017,Education,407104.33,5.31,60,2021-11-20,2026-11-20,7740.51,362293.28,Active,Education
L000267,C000143,BR006,Home,85660.16,7.81,12,2023-07-27,2024-07-27,7443.92,53954.17,In Arrears,Home Purchase
L000268,C000237,BR035,Auto,444141.87,9.38,24,2020-06-24,2022-06-24,20368.03,429258.37,Defaulted,Vehicle
L000269,C000281,BR039,Education,334504.0,13.93,48,2020-01-20,2024-01-20,9129.07,322433.41,In Arrears,Education
L000270,C000238,BR028,Auto,234658.98,5.72,48,2020-05-28,2024-05-28,5480.9,220106.08,In Arrears,Vehicle
L000271,C000116,BR011,Credit Builder,288870.42,14.17,24,2020-10-17,2022-10-17,13892.71,252106.98,In Arrears,Personal
L000272,C000197,BR039,Personal,289958.09,6.04,360,2020-01-16,2050-01-16,1745.91,283705.79,In Arrears,Personal
L000273,C000466,BR001,Personal,450892.38,6.1,36,2023-06-13,2026-06-13,13737.46,395033.57,In Arrears,Debt Consolidation
L000274,C000358,BR004,Home,452106.69,11.07,120,2023-08-07,2033-08-07,6245.7,443764.48,In Arrears,Home Purchase
L000275,C000070,BR006,Home,314605.6,15.28,36,2023-06-14,2026-06-14,10949.09,295099.66,Active,Home Purchase
L000276,C000295,BR024,Business,337697.12,5.37,12,2023-07-16,2024-07-16,28966.69,0.0,Closed,Business Expansion
L000277,C000383,BR007,Credit Builder,433927.1,9.99,84,2022-08-14,2029-08-14,7201.46,429036.6,In Arrears,Debt Consolidation
L000278,C000035,BR008,Credit Builder,307543.84,9.34,180,2023-12-23,2038-12-23,3181.82,305717.41,Defaulted,Personal
L000279,C000278,BR018,Auto,66571.21,8.02,240,2021-09-08,2041-09-08,557.66,65856.63,In Arrears,Vehicle
L000280,C000089,BR027,Education,487318.17,8.4,36,2020-09-08,2023-09-08,15360.86,478873.28,In Arrears,Education
L000281,C000155,BR038,Business,293903.05,15.72,120,2021-08-06,2031-08-06,4872.1,0.0,Closed,Business Expansion
L000282,C000389,BR011,Education,314120.55,14.37,84,2021-10-10,2028-10-10,5951.01,302198.34,Active,Education
L000283,C000453,BR029,Education,241729.61,9.24,48,2022-07-09,2026-07-09,6043.04,221037.01,In Arrears,Education
L000284,C000131,BR019,Personal,93990.36,4.03,84,2023-11-09,2030-11-09,1286.03,89550.37,In Arrears,Debt Consolidation
L000285,C000076,BR032,Education,262028.19,17.91,24,2023-01-23,2025-01-23,13070.13,262028.19,Defaulted,Education
L000286,C000022,BR025,Personal,115353.12,4.9,360,2022-04-30,2052-04-30,612.21,114907.11,Defaulted,Debt Consolidation
L000287,C000216,BR026,Credit Builder,195612.49,9.86,240,2023-12-29,2043-12-29,1869.59,192070.61,Defaulted,Personal
L000288,C000436,BR033,Education,288405.3,13.12,72,2020-10-23,2026-10-23,5807.76,279028.15,Active,Education
L000289,C000086,BR016,Business,140736.07,14.79,120,2022-07-12,2032-07-12,2252.5,0.0,Closed,Business Expansion
L000290,C000480,BR026,Personal,310436.56,13.65,360,2022-10-06,2052-10-06,3592.45,301527.4,Defaulted,Personal
L000291,C000065,BR011,Business,262633.38,3.94,360,2022-09-21,2052-09-21,1244.78,261895.37,Defaulted,Business Expansion
L000292,C000453,BR010,Education,357089.55,12.52,60,2022-06-29,2027-06-29,8037.41,321022.67,Active,Education
L000293,C000237,BR036,Auto,138998.31,7.25,24,2023-12-27,2025-12-27,6239.08,122114.22,In Arrears,Vehicle
L000294,C000228,BR004,Auto,319557.13,6.39,48,2020-09-25,2024-09-25,7562.08,304617.6,Defaulted,Vehicle
L000295,C000347,BR003,Auto,116400.15,17.7,60,2023-10-15,2028-10-15,2936.84,107492.32,In Arrears,Vehicle
L000296,C000029,BR011,Business,62717.16,9.19,60,2021-01-18,2026-01-18,1307.7,61932.33,Defaulted,Business Expansion
L000297,C000159,BR040,Home,222637.15,12.86,360,2023-06-04,2053-06-04,2438.47,216827.73,Defaulted,Home Purchase
L000298,C000117,BR010,Personal,209204.76,16.0,36,2021-06-17,2024-06-17,7355.02,0.0,Closed,Debt Consolidation
L000299,C000220,BR011,Education,100027.5,3.6,24,2023-12-24,2025-12-24,4325.9,88911.04,Active,Education
L000300,C000384,BR017,Credit Builder,479422.09,9.18,12,2022-10-26,2023-10-26,41966.2,452959.45,In Arrears,Debt Consolidation
